Date,NASDAQ
2022-12-08,11082.0
2022-12-09,11004.6
2022-12-12,11143.7
2022-12-13,11256.8
2022-12-14,11170.9
2022-12-15,10810.5
2022-12-16,10705.4
2022-12-19,10546.0
2022-12-20,10547.1
2022-12-21,10709.4
2022-12-22,10476.1
2022-12-23,10497.9
2022-12-27,10353.2
2022-12-28,10213.3
2022-12-29,10478.1
2022-12-30,10466.5
2023-01-03,10387.0
2023-01-04,10458.8
2023-01-05,10305.2
2023-01-06,10569.3
2023-01-09,10635.7
2023-01-10,10742.6
2023-01-11,10931.7
2023-01-12,11001.1
2023-01-13,11079.2
2023-01-17,11095.1
2023-01-18,10957.0
2023-01-19,10852.3
2023-01-20,11140.4
2023-01-23,11364.4
2023-01-24,11334.3
2023-01-25,11313.4
2023-01-26,11512.4
2023-01-27,11621.7
2023-01-30,11393.8
2023-01-31,11584.5
2023-02-01,11816.3
2023-02-02,12200.8
2023-02-03,12007.0
2023-02-06,11887.5
2023-02-07,12113.8
2023-02-08,11910.5
2023-02-09,11789.6
2023-02-10,11718.1
2023-02-13,11891.8
2023-02-14,11960.2
2023-02-15,12070.6
2023-02-16,11855.8
2023-02-17,11787.3
2023-02-21,11492.3
2023-02-22,11507.1
2023-02-23,11590.4
2023-02-24,11394.9
2023-02-27,11467.0
2023-02-28,11455.5
2023-03-01,11379.5
2023-03-02,11463.0
2023-03-03,11689.0
2023-03-06,11675.7
2023-03-07,11530.3
2023-03-08,11576.0
2023-03-09,11338.3
2023-03-10,11138.9
2023-03-13,11188.8
2023-03-14,11428.2
2023-03-15,11434.0
2023-03-16,11717.3
2023-03-17,11630.5
2023-03-20,11675.5
2023-03-21,11860.1
2023-03-22,11670.0
2023-03-23,11787.4
2023-03-24,11824.0
2023-03-27,11768.8
2023-03-28,11716.1
2023-03-29,11926.2
2023-03-30,12013.5
2023-03-31,12221.9
2023-04-03,12189.5
2023-04-04,12126.3
2023-04-05,11996.9
2023-04-06,12088.0
2023-04-10,12084.4
2023-04-11,12031.9
2023-04-12,11929.3
2023-04-13,12166.3
2023-04-14,12123.5
2023-04-17,12157.7
2023-04-18,12153.4
2023-04-19,12157.2
2023-04-20,12059.6
2023-04-21,12072.5
2023-04-24,12037.2
2023-04-25,11799.2
2023-04-26,11854.3
2023-04-27,12142.2
2023-04-28,12226.6
2023-05-01,12212.6
2023-05-02,12080.5
2023-05-03,12025.3
2023-05-04,11966.4
2023-05-05,12235.4
2023-05-08,12256.9
2023-05-09,12179.5
2023-05-10,12306.4
2023-05-11,12328.5
2023-05-12,12284.7
2023-05-15,12365.2
2023-05-16,12343.0
2023-05-17,12500.6
2023-05-18,12688.8
2023-05-19,12657.9
2023-05-22,12720.8
2023-05-23,12560.2
2023-05-24,12484.2
2023-05-25,12698.1
2023-05-26,12975.7
2023-05-30,13017.4
2023-05-31,12935.3
2023-06-01,13101.0
2023-06-02,13240.8
2023-06-05,13229.4
2023-06-06,13276.4
2023-06-07,13104.9
2023-06-08,13238.5
2023-06-09,13259.1
2023-06-12,13461.9
2023-06-13,13573.3
2023-06-14,13626.5
2023-06-15,13782.8
2023-06-16,13689.6
2023-06-20,13667.3
2023-06-21,13502.2
2023-06-22,13630.6
2023-06-23,13492.5
2023-06-26,13335.8
2023-06-27,13555.7
2023-06-28,13591.8
2023-06-29,13591.3
2023-06-30,13787.9
2023-07-03,13816.8
2023-07-05,13791.7
2023-07-06,13679.0
2023-07-07,13660.7
2023-07-10,13685.5
2023-07-11,13760.7
2023-07-12,13919.0
2023-07-13,14138.6
2023-07-14,14113.7
2023-07-17,14245.0
2023-07-18,14353.6
2023-07-19,14358.0
2023-07-20,14063.3
2023-07-21,14032.8
2023-07-24,14058.9
2023-07-25,14144.6
2023-07-26,14127.3
2023-07-27,14050.1
2023-07-28,14316.7
2023-07-31,14346.0
2023-08-01,14283.9
2023-08-02,13973.5
2023-08-03,13959.7
2023-08-04,13909.2
2023-08-07,13994.4
2023-08-08,13884.3
2023-08-09,13722.0
2023-08-10,13738.0
2023-08-11,13644.8
